id_publicacao,itens_apriori
Como enviar sua sugestão de pauta para os produtos de comunicação da UFSCar?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Halloween ou Dia do Saci?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Conservação e uso sustentável da água,"desempenho:baixo, retencao:desconhecida, duracao:longa"
#2 - Estudo analisa o impacto do fogo nos diferentes ecossistemas brasileiros,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Programa de Assistência Estudantil da UFSCar: o processo de ingresso e as perspectivas futuras,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Estudo de implantação do novo campus da UFSCar é processo coletivo,"desempenho:baixo, retencao:desconhecida, duracao:curta"
271ª Reunião Ordinária do ConsUni | UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Idiomas Sem Fronteiras oferece cursos online para comunidade da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
159ª Reunião Ordinária do Conselho de Extensão,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Feira do Livro EdUFSCar - Bate-papo com Gabriel Feltran,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Você sabia que pode usar a sua nota do Enem para cursar uma universidade federal?,"desempenho:baixo, retencao:boa, duracao:curta"
2ª Sessão da 117ª Reunião CoG,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Quero saber - E, como cuidar da nossa saúde?","desempenho:baixo, retencao:desconhecida, duracao:curta"
157ª Reunião Ordinária do Conselho de Extensão (CoEx) da UFSCa,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber - Desenvolvimento sustentável: solução ou falácia? (Série Clima – Episódio 2),"desempenho:baixo, retencao:desconhecida, duracao:longa"
Monitoramento da biodiversidade na Amazônia reúne cientistas e população que vive da Floresta,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Quais os efeitos da transfobia na vida das pessoas e na sociedade?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
149ª Reunião Ordinária do Conselho de Pós-Graduação | CoPG - UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
O papel das universidades na construção da saúde mental universitária e no fortalecimento da RAPS,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Presença indígena na UFSCar: 15 anos de história,"desempenho:baixo, retencao:desconhecida, duracao:media"
Conselhos Superiores - Constituição das urnas,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Restaurante Universitário do Campus São Carlos está com novo visual,"desempenho:baixo, retencao:desconhecida, duracao:curta"
155ª Reunião Extraordinária do Conselho de Extensão,"desempenho:baixo, retencao:desconhecida, duracao:longa"
UFSCar conta Sua historia - Cláudia de Moraes Barros Ramalho,"desempenho:baixo, retencao:desconhecida, duracao:longa"
EMBRAPII E INOVAÇÃO NA UFSCar: O que é? Como fazer?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber – O que é voyeurismo e o que isso tem a ver com reality shows?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber – Idade é documento?,"desempenho:baixo, retencao:boa, duracao:curta"
Idiomas sem Fronteiras - Inglês,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,"desempenho:baixo, retencao:boa, duracao:curta"
Quero saber - Como ser feliz no momento presente?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Por que e como publicar um livro científico por uma editora internacional?,"desempenho:baixo, retencao:desconhecida, duracao:media"
SiSU/2021 -Tirando Dúvidas,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Biblioteca infantil na BCo UFSCar,"desempenho:baixo, retencao:boa, duracao:curta"
Boletim de Oportunidades - Oportunidades em Um Minuto #4,"desempenho:baixo, retencao:desconhecida, duracao:curta"
"Conexão Federal: Mulheres da família Prestes, com Anita Prestes","desempenho:baixo, retencao:boa, duracao:curta"
10 anos do Campus Lagoa do Sino,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Na Pauta #55,"desempenho:baixo, retencao:desconhecida, duracao:longa"
160ª Reunião Ordinária do CoEx,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Quero Saber: Afinal, é possível alcançar um equilíbrio entre desenvolvimento e sustentabilidade?","desempenho:baixo, retencao:desconhecida, duracao:media"
Herbicida sustentável: UFSCar pesquisa alternativa ecológica para o controle de plantas invasoras,"desempenho:baixo, retencao:desconhecida, duracao:curta"
UFSCar na Área,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Hino Nacional Libras,"desempenho:baixo, retencao:desconhecida, duracao:media"
Cerimônia de Posse: Nova Equipe de Gestão UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
99ª Reunião Ordinária do Conselho de Graduação (CoG),"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – Qual o caminho da felicidade?,"desempenho:baixo, retencao:desconhecida, duracao:media"
Quero saber - Como combater o etarismo?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - O que é a região Neotropical?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Como combater a transfobia?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Boletim de Oportunidades – 3ª Chamada do Proeduca - Denise Silva Vilela,"desempenho:baixo, retencao:desconhecida, duracao:curta"
"Sentir ou não sentir...: sinal, sensor e significado em materiais e no corpo humano","desempenho:baixo, retencao:desconhecida, duracao:longa"
Formatura Campus São Carlos - CCBS I - 27/05/2024,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Quais são os sintomas e as formas de diagnóstico e de recuperação?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber - Como e quando surgiu o ecoturismo?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Redução de danos e combate às violências nas festas universitárias,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Boletim de Oportunidades-Egresso da UFSCar fala sobre a importância do PIPE-Fapesp para sua empresa,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Reunião Extraordinária do Conselho Universitário 07/12  - ConsUni UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
148º Reunião Ordinária do Conselho de Pós-Graduação | CoPG - UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Próxima Gestão: Reitora e Vice-Reitora são indicadas pelo Colégio Eleitoral,"desempenho:baixo, retencao:desconhecida, duracao:media"
Fazenda Produtiva - UFSCar Lagoa do Sino,"desempenho:baixo, retencao:desconhecida, duracao:curta"
27 anos da Biblioteca Comunitária da UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:media"
151ª Reunião Ordinária do conselho de Pós-Graduação | CoPG UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Eleição para discentes no CoG - Apuração,"desempenho:baixo, retencao:desconhecida, duracao:media"
Parcerias entre Universidade e Empresas resultam em Inovações para a sociedade,"desempenho:baixo, retencao:desconhecida, duracao:media"
21ª Edição da Feira de Oportunidades mobiliza 3 mil pessoas,"desempenho:baixo, retencao:desconhecida, duracao:media"
IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Mesa 5,"desempenho:baixo, retencao:desconhecida, duracao:longa"
147ª Reunião Ordinária do CoPG | UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:longa"
VOCÊ NA UFSCAR –  CONHEÇA O SiSU,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Formatura Campus São Carlos - CCBS III - 27/05/2024,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Formatura Campus Lagoa do Sino - 29/06/2024,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Professora Arlene Corrêa fala sobre o PITE-Fapesp,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Reunião do Conselho de Administração (CoAd),"desempenho:baixo, retencao:desconhecida, duracao:longa"
Sessão solene de outorga do título de Doutor Honoris Causa a Dermeval Saviani,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Transfobia não cabe na UFSCar,"desempenho:baixo, retencao:desconhecida, duracao:curta"
Quero saber – Como combater o machismo?,"desempenho:baixo, retencao:desconhecida, duracao:curta"
"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes","desempenho:baixo, retencao:desconhecida, duracao:curta"
EdUFSCar no Ar #5,"desempenho:baixo, retencao:desconhecida, duracao:longa"
"Mesa Redonda ""Saúde Mental  Antirracista"" | Novembro Negro UFSCar","desempenho:baixo, retencao:desconhecida, duracao:longa"
2a. Conferência do ciclo “Universidade para o Futuro:  Juventudes: novos desafios do conhecimento.,"desempenho:baixo, retencao:desconhecida, duracao:longa"
Quero saber – Idade é documento?,"desempenho:baixo, retencao:desconhecida, duracao:longa"
