id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
77ª Reunião Ordinária do CoACE,5860.0,75,8.6056,1.1,,0,0
Max and his friends - Discovering the sea: Episode 1 - The sea we breathe,755.0,176,8.5933,3.32,,0,0
Quero saber - Que prejuízos causa a não regulamentação da profissão de Gestor ou Gestora Ambiental?,217.0,258,8.3298,5.42,,5,0
Estudantes falam do papel da Iniciação Científica em sua formação,354.0,630,8.3068,1.12,,0,0
Quero saber: Existe vacina contra a febre maculosa?,189.0,384,8.2852,3.69,,1,0
Quero saber – Como Surgiram os Jogos Paralímpicos?,363.0,238,8.1491,2.44,,3,0
Sob o pôr do Sol - Vídeo 3,501.0,204,7.7829,1.54,,0,0
Reunião extraordinária do Conselho Universitário,1659.0,90,7.7066,4.25,,0,0
78ª Reunião Ordinária CoACE,7813.0,80,7.6496,0.98,,0,0
Pró-Reitoria de Extensão está com quatro editais abertos,357.0,261,7.308,0.89,,1,0
Trilhas da Inovação - Ep.2 - Escala TRL - Grau de maturidade tecnológica,258.0,235,7.118,7.37,,4,0
Quero saber - Quais são os desafios para a implementação segura das PICs no SUS?,170.0,277,7.115,7.5,,4,0
Reunião Extraordinária do Conselho Universitário,5500.0,54,6.9413,1.95,,0,0
161ª Reunião Ordinária do conselho de Pós-Graduação da UFSCar,10578.0,58,6.8052,1.71,,0,0
Quero saber -  Como a doença afeta o cérebro?,269.0,204,6.7367,3.01,,1,0
Físico brasileiro comenta Nobel para a Mecânica Quântica,1295.0,85,6.6538,4.53,,2,0
Estudantes da UFSCar destacam a importância da iniciação científica,499.0,341,6.4827,0.91,,2,0
IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Abertura,7019.0,32,6.4312,4.31,,0,0
“Boys and girls” e muito mais: projeto da UFSCar interage com estudantes do Ensino Fundamental,328.0,202,6.4091,2.0,,2,0
Quero saber - Gordofobia: é crime ou é bobagem?,60.0,819,6.3156,2.84,66.9,3,0
"Teaser Formaturas São Carlos 2024 - 27, 28 e 29/05/2024",85.0,424,6.2869,6.67,,4,0
Sob o pôr do Sol - Vídeo 3,501.0,164,6.267,0.93,,-2,0
XIII SEGRAD/UFSCar - Abertura | Inserção Curricular da extensão nos cursos de gradua...,7449.0,30,6.2607,5.64,,0,0
"Max and his friends in: Discovering the Sea - Episode 3 – Hot wind, cold rain",750.0,87,6.2352,2.05,,1,0
Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,1478.0,76,6.1712,3.58,,0,0
"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes",90.0,388,6.1609,2.04,64.27,10,0
Max and his friends in: Discovering the Sea - Episode 2 – Plastic on its way to the sea,906.0,91,6.1349,1.83,,0,0
"Conexão Federal: Futebóis, diversidade e inclusão, com Osmar Moreira de Souza Júnior",4032.0,102,6.0709,2.7,,3,0
