Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
wIxdqYmE9cY,Quero saber - De Aristóteles até a Psicologia Positiva: Como evoluiu a noção de felicidade?,"Feb 12, 2024",137,30,0:02:02,,,,,30,1.0231,1,739,1.22
Y5wbWGdKJok,Ciência UFSCar: Mudanças climáticas - impactos em águas e pastos,"Mar 25, 2021",5477,19,0:03:10,,,,,19,1.0078,0,286,3.5
a1MA6H7l-Pg,EdUFSCar No AR #7,"Dec 8, 2021",4206,16,0:03:45,,,,,16,1.0009,0,58,15.52
PmNosIFNE40,VOCÊ NA UFSCAR – QUAIS SÃO AS NOTAS DE CORTE?,"Apr 28, 2023",67,99,0:00:36,,,,,99,0.9949,0,730,9.73
fEzpnMyhRYg,"Alumni UFSCar: Ângelo Fernando Padilha, formado em Engenharia de Materiais na UFSCar","Aug 11, 2023",85,64,0:00:54,,,,,64,0.9746,0,824,5.34
n6PtBXpwoE0,UFSCar inaugura complexo de laboratórios,"Sep 25, 2020",220,67,0:00:52,,,,,67,0.9728,1,460,7.39
mV_FOXOTpWM,Trilhas da Inovação - Ep.8 – Programa de Computador,"Oct 11, 2023",384,33,0:01:46,,,,,33,0.9726,0,218,3.67
pN8ZfMTDfFg,Quero Saber – Desenvolvimento sustentável: solução ou falácia?,"Feb 24, 2024",60,81,0:00:43,71.25,,,,82,0.9709,2,2916,0.82
cWsovsm-SdA,Combate à violência de gênero e cultura da paz: desafios para a universidade pública brasileira,"Aug 26, 2023",7008,16,0:03:37,,,,,16,0.9662,0,86,4.65
U0yXtarU2NQ,Reitoria e ProAd apresentam cenário orçamentário da UFSCar para 2024 e balanço de 2023,"Mar 7, 2024",2034,17,0:03:23,,,,,17,0.9627,0,1427,0.56
b-_H1eEIiXM,Max e sus amigos - Descobriendo el mar: Episodio 1 - El mar que respiramos,"Oct 24, 2023",755,51,0:01:07,,,,,51,0.9625,0,1029,1.55
ZksSxDCAmyc,Depoimento Fernanda Marciano – Transformação,"Feb 3, 2023",292,48,0:01:12,,,,,48,0.9622,1,311,2.25
hjBtPLtLi3w,"Alumni UFSCar: Edinaldo dos Santos Rodrigues, formado em Psicologia pela UFSCar.","Aug 11, 2023",241,57,0:01:00,,,,,57,0.9562,1,339,3.83
k18TuI93wHw,"Luiz Antonio Pessan, professor da UFSCar, é o novo diretor de Programas e Bolsas no País da CAPES","Jun 12, 2024",360,44,0:01:17,,,,,44,0.9449,0,2421,0.66
u9H8o2l2Dx4,Conheça o Núcleo de Pesquisa e Desenvolvimento em Tecnologia Assistiva do Campus Sorocaba da UFSCar,"Aug 2, 2022",309,44,0:01:17,,,,,44,0.9422,1,126,3.17
2ghxTXQtZjA,Depoimento Alice Agnes - Transformação,"Jan 27, 2023",321,35,0:01:36,,,,,35,0.9391,1,205,2.44
Hv3ZfUwt9q0,News - Boletim de Oportunidades #7,"Feb 11, 2025",117,52,0:01:04,,,,,52,0.9368,0,1451,2.34
iYaWPwXuHYk,"Discriminação não cabe na UFSCar! Aprenda, ensine: violência é crime!","Oct 9, 2023",88,92,0:00:35,,,,,92,0.9139,0,432,4.17
nPsvj-aIvjQ,Laboratório da UFSCar desenvolve pesquisas sobre osteoartrite de joelho,"Feb 2, 2023",452,29,0:01:53,,,,,29,0.9139,0,309,3.56
90ashaApwrA,Feira do Livro EdUFSCar - Palestra: Jorge Amado - Uma biografia,"Oct 4, 2021",3620,6,0:09:05,,,,,6,0.9096,0,50,2
WomY2bsvF3M,30º Congresso de Iniciação Científica - UFSCar,"Nov 12, 2024",715,42,0:01:17,,,,,42,0.8993,0,585,3.93
FT64eZbnXRU,Tutorial - Como participar do Guardiões da Saúde,"Oct 6, 2021",238,57,0:00:56,,,,,57,0.8938,1,333,5.11
P5FnjXGSnlY,T2 #6 - Linguística popular valoriza e torna mais acessíveis os saberes linguísticos de não especial,"Mar 11, 2022",1470,7,0:07:36,,,,,7,0.8885,0,103,3.88
uIf5MAlQ3a8,Na Pauta #42,"Jan 25, 2022",5420,2,0:26:28,,,,,2,0.8827,0,12,0
JVU9Qdpn7Ns,Quero saber - O quê explica Tarcísio decidir não usar os livros distribuídos pelo Governo Federal?,"Oct 2, 2023",365,25,0:02:06,,,,,25,0.8803,0,414,3.62
xkk3Tw5Co-I,"Alumni UFSCar: Rieli Tomaz da Silva, estudante do curso de Engenharia Agronômica da UFSCar","Aug 11, 2023",185,40,0:01:19,,,,,40,0.88,0,367,8.17
dG36nTMb__w,"XII SEGRad - Abertura: Extensão Universitária na Graduação: história, diretrizes e experiências","Apr 25, 2022",10116,10,0:05:16,,,,,10,0.8792,0,110,5.45
Pk96GtBDpO8,Laboratório de Talentos inspira meninas para trilharem seus caminhos profissionais,"Jun 6, 2024",324,72,0:00:43,,,,,72,0.8774,1,1381,1.52
yxn72b--McU,Eleição para discentes no CoG - Constituição das Urnas,"Aug 2, 2024",538,33,0:01:35,,,,,33,0.8725,0,2028,0.44
1gItzPOkkQ4,#7 – Teste inédito pode ajudar a eliminar hanseníase,"Feb 15, 2022",1359,12,0:04:21,,,,,12,0.8708,0,220,1.36
UhlvrdI9HhA,65ª Reunião Ordinária do Conselho de Administração (CoAd),"Dec 15, 2022",12215,10,0:05:06,,,,,10,0.8509,0,55,1.82
Jry-cMPAU6M,"As possibilidades de Ensino, Pesquisa e Extensão Universitária a partir das experiências estudantis","May 26, 2022",5222,20,0:02:31,,,,,20,0.8436,0,61,3.28
8HmJ2cpmFG4,Quero saber - Como os comportamentos se manifestam?,"Oct 9, 2023",288,25,0:02:00,,,,,25,0.8401,1,171,1.75
7SNHHbY1EZU,Depoimento Lê Fernandes - Transformação,"May 17, 2023",462,22,0:02:17,,,,,22,0.8372,0,131,5.34
gzv_Yk2j9js,T2 #5 - Jogo educativo leva temática indígena para crianças de 5 a 10 anos,"Mar 4, 2022",1628,13,0:03:50,,,,,13,0.8332,1,163,4.29
nHrTp-8Rsas,"Quero saber - Acupuntura, fitoterápicos, aromaterapia: a que - e quem - servem as PICs no SUS?","Nov 13, 2023",59,77,0:00:38,62.14,,,,96,0.8307,1,1983,1.51
J0lmC6uq6XU,110ª Reunião Ordinária d Conselho de Graduação | CoG UFSCar,"Jan 23, 2024",11920,48,0:01:02,,,,,48,0.8271,1,265,9.06
IND26AxpBVs,Boletim de Oportunidades - Oportunidades em Um Minuto #2,"Oct 29, 2024",142,64,0:00:46,28.57,,,,65,0.8235,0,1421,1.34
bYKMm-7uMCU,HU-UFSCar inaugura Unidade de Pesquisa Clínicas,"Dec 4, 2023",240,35,0:01:24,,,,,35,0.8232,0,649,1.69
5P6YCtv8ZFc,Teaser Formaturas Sorocaba 2024 - 17/07,,46,89,0:00:33,,,,,89,0.8211,0,5,0
wGFG5KJ1e9s,15 Anos da Rádio UFSCar,"Aug 25, 2022",910,18,0:02:41,,,,,18,0.8096,0,103,2.91
AwVEXypoZEU,Boletim de Oportunidades – 3ª Chamada do Proeduca - Profa Tathiane Milaré,"Nov 21, 2024",128,78,0:00:36,23.67,,,,80,0.7935,0,1297,1
GPYC1uaWT48,#9 – Processo de financeirização da indústria automotiva ajuda a compreender saída da Ford do Brasil,"Feb 15, 2022",1434,8,0:05:56,,,,,8,0.7926,0,96,4.17
 -gfDx2OuB9g,EMBRAPII E INOVAÇÃO NA UFSCar: O que é? Como fazer?,"Sep 18, 2023",59,83,0:00:33,61.76,,,,86,0.7815,0,2103,1.66
UJU2eHG49nk,EMBRAPII-UFSCar promove parceria entre Universidade e empresas,"Feb 23, 2023",235,34,0:01:22,,,,,34,0.7786,0,220,5
7PlEf6hogHw,Formatura Campus Araras - CCA - 31/08/2024,,356,46,0:01:00,,,,,46,0.7734,0,6,0
bxIXWwh8yXg,"Fala, cientista! - Pesquisas Eleitorais - 04/12","Sep 9, 2022",97,56,0:00:47,,,,,56,0.7438,1,1540,3.25
NRE3C8Ev1PM,"Marcus Vinicius Batista Nascimento, novo secretário da SAADE fala sobre  antirracismo da UFSCar","Jul 4, 2023",170,46,0:00:57,,,,,46,0.7339,1,243,1.65
XJ7m-Rb57kI,#5 – Maior parte da população brasileira é contrária ao fechamento do STF,"Feb 15, 2022",1459,22,0:01:59,,,,,22,0.7302,0,345,3.19
8_P62Nlx0x0,I Encontro Fonaprace Sudeste 2022 - Manhã,"Apr 8, 2022",16638,6,0:07:10,,,,,6,0.7179,0,132,2.27
4ryrDcKfnnQ,Programa Capes/Brafitec apoia intercâmbio de estudantes de graduação entre Brasil e França,"Sep 5, 2023",85,60,0:00:42,,,,,60,0.7104,0,660,5.15
1Gq27C9oqfU,Quero saber - Admitir mudanças na língua que as pessoas falam é desestruturar a Língua Portuguesa?,"Dec 12, 2023",649,18,0:02:21,,,,,18,0.7088,0,385,1.56
T16-Z7FSzsE,275ª Reunião Ordinária do Conselho Universitário,"Feb 23, 2024",10462,9,0:04:42,,,,,9,0.7069,0,226,3.98
Uy-P3iu1vwI,Boletim de Oportunidades - SBPC abre inscrições para o Prêmio Carolina Bori,"Oct 10, 2024",68,70,0:00:36,,,,,70,0.7046,0,1333,1.05
WXDT3Srqjd4,Mesa redonda | Reforma psiquiátrica: desafios atuais para o SUS e para as universidades,"May 15, 2023",7901,19,0:02:12,,,,,19,0.6992,0,219,4.11
5slgAXD9Ayk,Quero saber - Genética da Conservação: o que é e para que serve?,"Nov 6, 2023",60,79,0:00:31,49.04,,,,92,0.6977,0,2517,1.31
WI9MDrZCUmE,Teaser Formaturas UFSCar Araras 2024 - 31/08,,74,50,0:00:49,,,,,50,0.6933,0,11,0
MOa6v2Xh0YA,Quero saber - O ecoturismo enquanto mercado. E agora?,"Jan 16, 2024",218,24,0:01:42,,,,,24,0.6855,0,422,3.08
4kFi6UBOVns,Daiane Aparecida Zuanetti,"Feb 6, 2023",207,50,0:00:49,,,,,50,0.684,0,243,7.41
0njXjXCnZkc,Trilhas da Inovação - Ep.9 – A Agência de Inovação da UFSCar,"Oct 11, 2023",257,28,0:01:27,,,,,28,0.6791,0,224,2.68
JlYKjhE6Z7s,"Fala, cientista! - Pesquisas Eleitorais - 05/12","Sep 9, 2022",158,27,0:01:30,,,,,27,0.6779,0,523,4.97
TQdRv2PVBmc,Formatura Campus São Carlos - CECH II - 29/05/2024,,173,43,0:00:56,,,,,43,0.6742,0,12,8.33
ZgUYIdtFr1A,#4 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   ANA CRISTINA JUVENAL DA CRUZ,"Feb 11, 2022",1724,11,0:03:38,,,,,11,0.6688,0,159,3.14
G5R23Q9y2jk,Conexão Federal - EdUFSCar : Oswaldo Truzzi e Wilson Alves-Bezerra,"Oct 16, 2023",4014,21,0:01:54,,,,,21,0.6664,0,249,4.82
ROxYgg3Nghc,Inclusão de colaboradores com deficiência nos Restaurantes Universitários da UFSCar,"Aug 25, 2022",264,32,0:01:14,,,,,32,0.6657,0,427,5.15
i1BXm7QpwW4,Trilhas da Inovação - Ep.7 – Cultivar,"Oct 11, 2023",353,20,0:01:58,,,,,20,0.6607,0,313,3.51
rQtdZ11sdxw,#19 - Diferentes linhagens de HIV e as políticas públicas de combate,"Feb 15, 2022",1421,4,0:09:53,,,,,4,0.6597,0,109,1.83
SU8Cx7gp2Gk,"Fala, cientista! - Pesquisas Eleitorais - 07/12","Sep 9, 2022",360,13,0:03:00,,,,,13,0.6526,0,211,2.84
ElaAUT13VZc,E o que Desenvolvimento Sustentável tem com as negociações para enfrentar a emergência climática?,"Feb 26, 2024",388,27,0:01:26,,,,,27,0.6523,1,681,1.76
DHSaMk1mZek,"Ana Beatriz de Oliveira, Reitora da UFSCar, fala sobre os seis meses do lançamento do portal Alumni","Jan 24, 2024",261,41,0:00:54,,,,,41,0.6187,1,432,2.31
pltzcYY8_6E,Construindo a Política Cultural da UFSCar,"May 3, 2024",5599,10,0:03:42,,,,,10,0.617,0,319,0.94
hlsbD9wCPV4,"Sementes da Cultura Científica - Adilson de Oliveira, Departamento de Física","Sep 30, 2022",593,18,0:02:03,,,,,18,0.6169,1,1167,0.09
RL0GOOTCFOY,"Vida Universitária: o dia a dia acadêmico (ProGrad, SEaD, SIBi, SRinter, EDUFSCar)","Aug 12, 2021",5405,12,0:03:05,,,,,12,0.6167,0,151,3.97
Ngfon8881ck,Práticas inovadoras no ensino de ciências e divulgação científica junto ao público infanto-juvenil,"Oct 11, 2022",295,30,0:01:13,,,,,30,0.6114,0,169,5.92
z89xJ9Zf10U,A homofobia não cabe na UFSCar,"Feb 28, 2024",106,42,0:00:52,,,,,42,0.6088,0,2047,1.07
OYds4_-SZIA,UFSCar de Todos os Povos - Lejzer Castro,"Aug 11, 2023",155,38,0:00:56,,,,,38,0.5968,0,238,6.3
iYMB5NPgmS8,Quero saber - Nascemos predispostos à felicidade ou é possível aprender a ser feliz?,"Feb 12, 2024",178,29,0:01:13,,,,,29,0.5883,0,589,1.19
TZJHXFs9S94,14ª Reunião Extraordinária - CoGePe,"May 6, 2025",145,39,0:00:54,,,,,39,0.5869,0,1023,1.56
PL1BscsVdfE,Quero saber – Assédio: quais as faces desse mal?,"Oct 16, 2023",746,10,0:03:31,,,,,10,0.5862,0,210,2.86
od50O_1ybGw,EdUFSCar completa 30 anos de história,"Mar 7, 2023",2006,7,0:05:00,,,,,7,0.5849,0,158,0
ZRiCcdy20ck,Quero saber - Que mistérios - e crimes! - a Genética da Conservação ajuda a resolver?,"Nov 6, 2023",435,13,0:02:40,,,,,13,0.5792,1,373,0.8
 -awDvI_gynw,#8 – Conheça o veleiro que viaja os oceanos do mundo fazendo pesquisa,"Feb 15, 2022",1558,4,0:08:38,,,,,4,0.5764,0,69,0
MlaWmw6BSqU,Quero saber - Por que a gordofobia causa sofrimento?,"Oct 23, 2023",246,21,0:01:38,,,,,21,0.5749,1,250,4.4
 -nTNBW4lrTQ,Quero saber - Não sou fluente em Inglês. Como vou publicar um livro por uma editora internacional?,"Jan 8, 2024",236,24,0:01:25,,,,,24,0.5716,0,300,1
KnNgFJ_aUB4,Depoimento Augusta Neves - Transformação,"Jul 12, 2023",329,16,0:02:07,,,,,16,0.5665,0,134,3.73
QXK86zlpw-I,Edital ProGrad Nº 20 de 8 de janeiro de 2024 traduzido em Língua Brasileira de Sinais,"Jan 31, 2024",11873,64,0:00:31,,,,,64,0.5643,0,440,2.5
5osbUZTM7DU,Formatura Campus São Carlos - CCET I - 28/05/2024,,103,56,0:00:36,,,,,56,0.5618,0,6,16.67
rfG3Jv8w_Ho,UFSCar promove 1ª Feira da Visibilidade Trans e Travesti,"Feb 16, 2023",266,41,0:00:48,,,,,41,0.5516,0,2035,0.84
xu-l6ucO6AU,Formatura Campus Sorocaba - CCGT - 17/07/2024,,149,32,0:01:01,,,,,32,0.5507,0,5,0
F1iCyuPovx8,Alumni UFSCar - Conheça a nova página inicial,"May 6, 2024",92,51,0:00:38,,,,,51,0.5409,2,837,1.43
kXMSkR8t-K8,Calourada 2023,"May 8, 2023",198,60,0:00:32,,,,,60,0.5398,0,515,9.13
66hAmM4R2s4,30 anos do projeto Trilha da Natureza da UFSCar,"Sep 13, 2022",317,21,0:01:32,,,,,21,0.5385,0,99,6.06
WgsrFmt0LcE,7a Semana dos Estudantes Indígenas da UFSCar,"Jul 14, 2022",160,27,0:01:10,,,,,27,0.5264,0,272,7.35
2OFIidpHoD4,"Alumni UFSCar: Anna Cláudia Sentanin, formada em Fisioterapia na UFSCar","Aug 11, 2023",143,23,0:01:21,,,,,23,0.5236,0,454,3.52
31_YBPseQmk,Depoimento Cae Pereira - Transformação,"Dec 6, 2023",443,15,0:02:04,,,,,15,0.5203,0,278,0.72
atyJdRlgwGQ,Quero saber: Como prevenir a febre maculosa?,"Jul 6, 2023",241,31,0:01:00,,,,,31,0.5201,0,901,2.11
JWJGgfYkDwQ,"Racismo, homofobia, desigualdade e extermínio: os impasses da atuação do Estado","Jun 22, 2022",5508,19,0:01:37,,,,,19,0.5135,0,62,4.84
5SXSldGAe_M,"NIASE: 20 anos de sonhos, ciência e transformação social","Jun 27, 2022",8345,36,0:00:51,,,,,36,0.5116,0,165,12.73
54bbAt4uWlw,UFSCar sedia novo INCT em Biodiversidade e Uso Sustentável de Peixes Neotropicais,"May 9, 2023",375,13,0:02:19,,,,,13,0.5042,0,190,2.11
3kdtCubg-OI,"Reitora, Ana Beatriz de Oliveira, participa de evento na Câmara Municipal de Sorocaba","Apr 27, 2023",33,105,0:00:17,51.37,,,,119,0.5037,2,4339,1.36
Cp-LnE9-mqs,T2 #1 - Bioeconomia circular e a produção de materiais avançados,"Feb 15, 2022",1412,15,0:02:00,,,,,15,0.501,0,116,4.31
IEn9Q7dTw1c,Avanços e desafios para além da Lei Maria da Penha,"Aug 31, 2023",7813,12,0:02:29,,,,,12,0.4989,0,57,10.53
nOqQmp5k-Ic,“Ciência em Movimento” – cientistas da UFSCar e da USP divulgam suas pesquisas no transporte público,"Jun 13, 2024",457,37,0:00:48,,,,,37,0.4934,0,1522,1.05
 -Ef50dItAiQ,Viviane Melo de Mendonça,"Feb 9, 2023",140,24,0:01:12,,,,,24,0.4829,0,136,2.21
jOX4bczDNB8,Francisco Coury,"Jan 25, 2023",225,19,0:01:30,,,,,19,0.4754,0,175,6.86
wmeFmjz1J78,Edital 2023 - Eleição de representantes junto aos conselhos superiores | Apuração,"Jan 31, 2024",1643,8,0:03:30,,,,,8,0.4686,0,251,1.99
2ZTufffrH8k,Reunião Extraordinária do Conselho Universitário | ConsUni UFSCar,"Sep 29, 2023",11265,11,0:02:33,,,,,11,0.4681,0,116,8.62
LiEyCIy62x4,XII SEGRad - Curricularização da Extensão: experiências institucionais,"Apr 26, 2022",11270,7,0:04:00,,,,,7,0.4673,0,35,2.86
PutyTxr2R6A,Quero saber – De onde surge e como se perpetua o machismo?,"Oct 9, 2023",60,38,0:00:43,44.29,,,,51,0.4671,1,1613,1.18
qjFBE3-K7y0,Reunião Extraordinária do Conselho Uniersitário - 12/12 | ConsUni UFSCar,"Dec 12, 2023",10393,14,0:01:59,,,,,14,0.4663,0,174,2.87
I5HJSNox3Eg,Boletim de Oportunidades - Oportunidades em Um Minuto #1,"Oct 15, 2024",104,42,0:00:39,38.1,,,,42,0.4659,0,1122,1.52
X_od0CCONtQ,Alumni UFSCar - Como criar/ gerenciar Grupos - Comunidades,,419,25,0:01:07,,,,,25,0.4657,0,4,0
I7OFUJ9ESBk,O Machismo não cabe na UFSCar!,"Oct 25, 2023",128,23,0:01:12,,,,,23,0.4656,0,369,3.52
sVdfMZoJ9Yw,Eleição de representantes do CoGePe - Apuração,"Apr 23, 2025",471,13,0:02:08,,,,,13,0.4654,0,722,0.97
xY0SVAvEitE,Quero saber - Por que o Governo não produz seu próprio livro didático ?,"Oct 2, 2023",368,12,0:02:19,,,,,12,0.4654,0,215,1.4
2pzE5hEribc,UFSCar de todos os povos! Wéllima Timóteo de Lima - Estudante indígena da etnia Xukuru de Ororubá,"Aug 29, 2022",77,28,0:00:59,,,,,28,0.4619,1,187,4.81
ykXCR7TsOuE,UFSCar de Todos os Povos - Mamadú Saliu Djaló,"Feb 24, 2023",113,27,0:01:01,,,,,27,0.4582,1,290,3.1
u9JDw5S3pzE,"Quero saber: Afinal de contas, quem causa a febre maculosa?","Jul 6, 2023",255,12,0:02:13,,,,,12,0.4442,0,111,0.9
AqctsabxE-U,O Racismo não cabe na UFSCar!,"Oct 11, 2023",94,28,0:00:56,,,,,28,0.4416,0,319,5.96
uQ5HDVWmt2o,Pesquisa da UFSCar vence Prêmio Capes de Tese,"Sep 5, 2023",46,74,0:00:21,,,,,74,0.4407,0,211,3.32
DQ7oeqcQobU,Roberta Cerasi Urban,"Jan 25, 2023",269,28,0:00:56,,,,,28,0.4393,1,62,4.84
K93xYrztyGA,T2 #2 - Diferença entre mão direita e mão esquerda e a busca de vacinas mais eficazes,"Feb 15, 2022",1078,33,0:00:47,,,,,33,0.4387,0,117,0.85
Jf99H0FmK7U,UFSCar apresenta novidades na área de gestão ambiental e sustentabilidade,"Mar 21, 2023",544,11,0:02:23,,,,,11,0.4374,1,244,2.46
1kjHmzvfUjk,Alumni UFSCar - Como postar ou encontrar eventos,,108,70,0:00:22,,,,,70,0.4368,0,0,
pjilPTkZqGU,NA PAUTA ENTREVISTA - OBSERVA SANCA,"Jan 31, 2023",1680,8,0:03:16,,,,,8,0.4364,0,92,1.09
VdN20gI6N84,"TBT Aula Magna da UFSCar com o Ministro dos Direitos Humanos e da Cidadania, Silvio Almeida","Mar 12, 2024",45,80,0:00:19,51.97,,,,87,0.4308,0,4018,1.19
pvHrVyyJd_8,Já está disponível o aplicativo Alumni UFSCar #shorts,"Aug 11, 2023",59,55,0:00:28,55.56,,,,62,0.43,1,437,0.46
xnHAisaEP84,Trilhas da Inovação - Ep.5 – Know-how,"Oct 11, 2023",314,14,0:01:50,,,,,14,0.4296,0,252,2.38
vbLSsj3zBBg,Depoimento Iago Costa - Transformação,"May 31, 2023",302,30,0:00:51,,,,,30,0.429,0,325,1.85
NkYyHMXRixk,"Quero saber – Etarismo, quais suas origens e impactos?","Dec 18, 2023",167,17,0:01:30,,,,,17,0.427,0,354,1.13
GELG9n5Eay0,1ª Reunião Extraordinária do Conselho de Extensão (CoEx) da UFSCar do ano de 2023,"Mar 23, 2023",14112,5,0:05:04,,,,,5,0.4233,0,53,7.55
bqEYths04cE,Quero saber - Mas eu ainda estou no começo da minha carreira na Ciência! Já posso publicar um livro?,"Jan 8, 2024",331,40,0:00:38,,,,,40,0.423,0,485,1.24
AI1B32P1LM4,8º Congresso do Colégio dos Gestores da Comunicação das universidades federais | Dia 09.11 - Manhã,"Nov 9, 2023",12808,7,0:03:37,,,,,7,0.4225,0,56,0
BPOkM1MvuJM,Quero saber – Assédio: quais as faces desse mal?,"Oct 16, 2023",60,37,0:00:41,37.78,,,,39,0.4225,0,1210,0.5
o3I_tWcea7s,Formatura Campus São Carlos - CECH III - 29/05/2024,,114,59,0:00:25,,,,,59,0.4176,0,6,0
7vsuu26YYjY,Depoimento Victória Ayumi - Transformação,"Feb 15, 2023",254,26,0:00:57,,,,,26,0.4175,0,140,3.57
DQeiQJL96IA,Cerimônia de entrega do Título de Doutor Honoris Causa para Dermeval Saviani,"Dec 15, 2022",334,18,0:01:23,,,,,18,0.4153,0,314,4.46
8vswTakcfr0,30º Congresso de Iniciação Científica - UFSCar - Dia 13/11,"Nov 13, 2024",241,35,0:00:42,,,,,35,0.4102,0,676,1.63
VZSZA0gUAng,UFSCar de todos os povos! Natalia Andrea Viana Bedoya - Professora do Dep. de Matemática da UFSCar,"Oct 6, 2022",169,27,0:00:54,,,,,27,0.4098,0,182,2.2
LeGz-iQbNy4,Equipe da Pró-Reitoria de Administração fala sobre desafios e conquistas nos dois anos de gestão,"Jun 29, 2023",389,15,0:01:37,,,,,15,0.4047,0,345,3.19
Gbg5pHeAiZs,T2 #4 - Pesquisadores redescobrem espécie de perereca considerada extinta,"Feb 25, 2022",1341,8,0:03:01,,,,,8,0.4043,0,104,3.85
FsV3smNUET8,Quero saber - Estou sendo gordofóbico?,"Oct 23, 2023",402,13,0:01:51,,,,,13,0.4032,0,196,1.02
ljGQUSeZwkM,NEEDS da UFSCar cria Programa de Computador para mapear APP,"Jul 12, 2023",364,10,0:02:22,,,,,10,0.396,0,168,2.98
tJPA30moCPI,Reitoria esclarece sobre revogação de lista,"Mar 5, 2024",1569,15,0:01:33,,,,,15,0.3913,0,1250,0.48
lSj-xLBGNfo,EdUFSCar no Ar #3,"Sep 1, 2021",3558,11,0:02:07,,,,,11,0.3897,0,52,7.69
zmzhHiMZhh4,Depoimento Marc Tristão - Transformação,"Jun 14, 2023",277,14,0:01:38,,,,,14,0.3839,0,140,2.86
NfRlH7KTa_g,#Mesa5 - UFSCar Marchando para Transformar Ciência em Qualidade de Vida,"May 12, 2020",2316,8,0:02:51,,,,,8,0.3822,1,200,2.5
5jkv5uJYY0g,Quero saber - Como prevenir a doença? E qual o papel das organizações?,"Mar 4, 2024",207,39,0:00:35,,,,,39,0.3817,0,1233,2.11
HGGf9IoMvMM,"Conheça o trabalho da UAC, em atividade há 30 anos na UFSCar.","Nov 1, 2022",200,16,0:01:25,,,,,16,0.3799,0,71,4.23
Mu2Hm0t0VnE,Dia de valorização da universidade pública,"Aug 12, 2022",496,16,0:01:25,,,,,16,0.3786,0,215,2.33
N_R6KXGH7sA,Equipe ProACE fala sobre ações de assistência durante a pandemia e novas conquistas em Saúde Mental,"Jul 5, 2023",458,9,0:02:31,,,,,9,0.3778,2,203,3.94
FD3-uZRTnhI,TBT 2ª Feira da Visibilidade Trans e Travesti na UFSCar,"Mar 12, 2024",91,54,0:00:25,,,,,54,0.3775,0,626,1.6
d5BoulK0FjM,11ª Reunião Ordinária do Conselho de Gestão de Pessoas (CoGePe),"Feb 7, 2023",10762,4,0:05:39,,,,,4,0.377,0,54,0
LIbP0dESOZM,Agroecologia: potencialidades e desafios,"Jun 20, 2023",2224,5,0:04:31,,,,,5,0.3769,0,234,0.85
62CNQauYdz8,Reitoria lança projeto UFSCar + 5 para elaboração do novo PDI,"Nov 16, 2023",131,17,0:01:19,,,,,17,0.3741,0,233,3.86
2OTPMg5qZRw,#1 – Fibra de PET reciclado pode ajudar no combate à Covid-19,"Feb 15, 2022",1172,15,0:01:29,,,,,15,0.3719,0,65,1.54
GoYVi-5sZKY,"Boletim de Oportunidades - Capes abre inscrições para a Cátedra Rio Branco, no King's College London","Oct 15, 2024",70,47,0:00:28,35,,,,47,0.3702,0,802,1.75
Sl05a82TJCs,Boletim de Oportunidades - Oportunidades em Um Minuto #3,"Nov 12, 2024",111,54,0:00:24,28.1,,,,57,0.3662,0,1425,0.98
zvrLA__yU1Y,Quero saber - Porque a gravidade do quadro de saúde de Fausto Silva levou o coração até ele?,"Sep 4, 2023",169,25,0:00:52,,,,,25,0.3653,1,432,1.16
WkpRwboP9nQ,#6 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   CAROLINA RODRIGUES DE SOUZA,"Feb 11, 2022",2317,7,0:03:07,,,,,7,0.3637,0,87,1.15
OojoUoaIcQk,"Quero saber - Afinal, assistir ao BBB é um comportamento voyeurístico?","Jan 29, 2024",265,16,0:01:20,,,,,16,0.3596,0,526,1.9
JcFvj1RChuk,29º Congresso de Iniciação Científica e Tecnológica da UFSCar – CIC-CIDTI-CIC-EM/UFSCar,"Jun 1, 2023",8694,18,0:01:11,,,,,18,0.3593,0,166,6.02
53N4GwTAuZ0,Dia Mundial da Saúde - Aspectos epidemiológicos da varíola dos macacos,"Aug 5, 2022",1292,3,0:07:09,,,,,3,0.3583,0,95,2.11
NwB_OvcPvzI,150º Reunião Ordinária do Conselho de Extensão | CoEx UFSCar,"Feb 22, 2024",7429,10,0:02:08,,,,,10,0.3576,0,174,3.45
NUZWbV12qIs,#8 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   SAMARA SABINO,"Feb 11, 2022",1507,6,0:03:34,,,,,6,0.3574,0,124,4.84
S8-jVO0iCJg,Quero saber - Quais os benefícios da prática do ecoturismo?,"Jan 16, 2024",107,24,0:00:53,,,,,24,0.3573,0,385,3.9
