Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
o5qLTL246gk,27 anos da Biblioteca Comunitária da UFSCar,"Aug 16, 2022",367,93,0:01:37,,,,,93,2.518,1,421,8.79
zAp1qZl-LkM,151ª Reunião Ordinária do conselho de Pós-Graduação | CoPG UFSCar,"Dec 13, 2023",8189,9,0:16:33,,,,,9,2.4827,0,209,0.48
anazpZE4LYo,Eleição para discentes no CoG - Apuração,"Aug 9, 2024",466,111,0:01:20,,,,,111,2.4776,-1,2873,0.9
_Ge2oEw_kv0,Parcerias entre Universidade e Empresas resultam em Inovações para a sociedade,"May 16, 2023",385,72,0:02:03,,,,,72,2.4665,0,169,4.14
KF1vO3_c3HE,21ª Edição da Feira de Oportunidades mobiliza 3 mil pessoas,"Nov 21, 2024",317,154,0:00:57,,,,,154,2.4624,0,3775,0.58
VIrRZDbw4tQ,IV SIMPOSIO DE PESQUISA EM JUVENTUDE NO BRASIL - Mesa 5,"Apr 11, 2024",7350,10,0:14:36,,,,,10,2.4342,0,250,1.6
i9PfVeDwKAE,147ª Reunião Ordinária do CoPG | UFSCar,"Jun 28, 2023",8287,9,0:15:59,,,,,9,2.3977,0,83,4.82
BmlNFL9kzzI,VOCÊ NA UFSCAR –  CONHEÇA O SiSU,"Apr 28, 2023",93,138,0:01:01,,,,,138,2.3448,0,785,5.22
ROC1mL5I8LQ,Formatura Campus São Carlos - CCBS III - 27/05/2024,,156,119,0:01:10,,,,,119,2.3188,0,0,
4oLYFhhuHG0,Formatura Campus Lagoa do Sino - 29/06/2024,,287,84,0:01:38,,,,,84,2.3029,3,10,0
82KunxMZLcw,Professora Arlene Corrêa fala sobre o PITE-Fapesp,"Oct 23, 2024",198,121,0:01:08,,,,,121,2.2982,1,2976,1.55
r-4x2BxIp0o,Reunião do Conselho de Administração (CoAd),"May 6, 2022",8592,40,0:03:26,,,,,40,2.2915,0,66,10.61
pZvUIK_RYvs,Sessão solene de outorga do título de Doutor Honoris Causa a Dermeval Saviani,"Dec 6, 2022",9120,13,0:10:33,,,,,13,2.2878,0,170,3.53
b7MY2ibHIIk,Transfobia não cabe na UFSCar,"Nov 29, 2023",131,120,0:01:07,,,,,120,2.2372,1,1416,1.41
DirIDYwrX34,Quero saber – Como combater o machismo?,"Oct 9, 2023",74,276,0:00:29,,,,,276,2.2328,1,1226,7.01
VKDXqVNqpmU,"Inscrições abertas: Programa Doutorado Sanduíche no Exterior (PDSE), da Capes","Dec 6, 2024",90,189,0:00:40,,,,,189,2.1241,2,1888,1.96
4q2sZuZB0L0,EdUFSCar no Ar #5,"Oct 15, 2021",4150,24,0:05:17,,,,,24,2.1158,1,156,9.62
Mz8tew3bCoc,"Mesa Redonda ""Saúde Mental  Antirracista"" | Novembro Negro UFSCar","Nov 28, 2023",10807,18,0:07:02,,,,,18,2.1138,1,246,3.25
2AI9f0iSQ54,2a. Conferência do ciclo “Universidade para o Futuro:  Juventudes: novos desafios do conhecimento.,"Apr 4, 2024",9843,30,0:04:12,,,,,30,2.1026,0,307,3.58
e3n_mf5bY5s,Quero saber – Idade é documento?,"Dec 18, 2023",909,140,0:00:53,,,,,140,2.0847,2,400,0
3w8nV5m84tE,Trilhas da Inovação - Ep.1 - Primeiros passos para registrar uma patente,"Oct 11, 2023",349,82,0:01:31,,,,,82,2.079,0,423,3.78
TDxU5mP7EDw,Grupos da UFSCar é selecionado para apresentação sobre ciência em evento internacional,"Mar 16, 2023",340,49,0:02:30,,,,,49,2.042,2,141,1.42
1NlTqQf_BjQ,Quero saber – O que é voyeurismo e o que isso tem a ver com reality shows?,"Jan 29, 2024",59,202,0:00:36,65.98,,,,221,2.0264,1,1289,2.87
I7cCnB5bOm4,150ª Reunião do Conselho de Pós-Graduação | CoPG UFSCar,"Oct 26, 2023",5642,8,0:15:09,,,,,8,2.0202,0,47,4.26
XXQL8WXhwCM,Tutorial: como solicitar o uso do nome social na UFSCar,"Aug 22, 2023",82,212,0:00:34,,,,,212,2.0132,1,593,7.25
uAdkjn0ss2k,"Quero saber: Afinal de contas, quem causa a febre maculosa?","Jul 6, 2023",886,37,0:03:13,,,,,37,1.9923,0,314,6.05
L9Q4KXoat-I,Eleição de representantes do CoGePe - Constituição das Urnas,"Apr 17, 2025",993,31,0:03:50,,,,,31,1.9844,0,990,1.41
UK48UEZRWzw,VOCÊ NA UFSCAR – CONHEÇA OS CURSOS DA FEDERAL,"Apr 28, 2023",80,154,0:00:45,,,,,154,1.9412,0,1972,5.22
bswJK5MmtYw,UFSCar de Todos os Povos - Etnia Atikum,"Mar 13, 2023",172,87,0:01:20,,,,,87,1.9359,2,280,3.93
fd1yEg47ovE,"Ciência UFSCar - Crise hídrica e matriz energética: Brasil em 2001, 2014, 2021, 2022...","Jul 5, 2021",5797,8,0:14:26,,,,,8,1.9256,0,246,0.41
QnbZuD2gjK8,Quero Saber- Dia de Finados e Dia de los Muertos: o que colonizadores e a Igreja Católica tem a ver?,"Oct 30, 2023",265,103,0:01:07,,,,,103,1.9177,0,361,1.66
BRIlVLSoV_E,Quero saber – O que é a Síndrome de Burnout?,"Mar 4, 2024",60,179,0:00:38,58.33,,,,202,1.9136,0,4255,0.82
9cUsr0-HFjI,9ª Reunião Ordinária do Conselho de Pessoas (CoGePe),"Oct 4, 2022",9371,5,0:22:56,,,,,5,1.9119,0,44,0
sBY7m4lj7SA,"Quero saber – O que aconteceu com o clima no Brasil, nos últimos 60 anos?","Dec 4, 2023",346,138,0:00:49,,,,,138,1.891,0,314,0.64
hAIn8ICnXrs,Quero saber - Como é a trajetória do Brasil nos Jogos Paralímpicos?,"Sep 25, 2023",297,48,0:02:21,,,,,48,1.8829,0,258,0.39
gZbsUpOEEac,EdUFSCar no Ar #12,"Nov 9, 2022",4031,8,0:14:01,,,,,8,1.8695,0,95,3.16
5KyxJYo8V7E,274ª Reunião Ordinária do Conselho Universitário | ConsUni UFSCar,"Dec 15, 2023",11538,26,0:04:18,,,,,26,1.8655,0,162,4.32
Npuqxz5OHmk,17ª Reunião Ordinária do Conselho de Gestão de Pessoas | CoGePe UFSCar,"Feb 6, 2024",7691,17,0:06:27,,,,,17,1.829,0,244,1.64
TTicy__HAKI,2ª Sessão da 1ª Reunião Extraordinária do Conselho de Extensão (CoEx) da UFSCar no ano de 2022,"Mar 10, 2022",11204,8,0:13:30,,,,,8,1.8015,0,34,17.65
 -ig841hw33A,UFSCar de Todos os Povos - Filippo Ghiglieno,"May 18, 2023",230,58,0:01:51,,,,,58,1.8004,0,224,5.36
uVb1KoDVHpE,Quero saber - Por que precisamos de profissionais de Gestão Ambiental?,"Feb 5, 2024",260,67,0:01:36,,,,,67,1.8,0,908,2.42
zQJDQtUQQOk,Quero saber - Halloween ou Dia do Saci?,"Oct 30, 2023",60,203,0:00:31,67.88,,,,210,1.7949,2,3480,1.84
ppOfjVFkjdU,Biblioteca do Campus Lagoa do Sino ganha acervo de Raduan Nassar,"Jun 21, 2022",237,54,0:01:59,,,,,54,1.7927,1,1096,4.11
1qZH5C_B5tY,270ª Reunião Ordinária  do Conselho Universitário (ConsUni),"May 12, 2023",12706,32,0:03:20,,,,,32,1.7865,0,179,2.23
ZahgtoITwaE,Retorno total das atividades presenciais na UFSCar,"Jun 1, 2022",328,66,0:01:36,,,,,66,1.7702,1,1212,5.03
WzpEJ044pGo,"Quero saber - A população está envelhecendo, e agora?","Dec 18, 2023",385,46,0:02:17,,,,,46,1.7612,0,371,0.27
bVbygNPPRDA,Plataforma Alumni - Rede social criada para fortalecer a comunidade UFSCar completa um ano,"Jul 3, 2024",143,125,0:00:49,,,,,125,1.7359,1,2306,0.91
U59NVJsiCXY,Encontro Internacional de Ciência Política Computacional,"Sep 4, 2024",225,129,0:00:48,,,,,129,1.7322,0,6098,0.87
WGBOvbnTfQI,Reunião Extraordinária do Conselho Universitário - 18/12 | ConsUni UFSCar,"Dec 18, 2023",10113,14,0:07:24,,,,,14,1.7271,0,219,1.83
Cpr2B9Oheqo,T2 #9 - Pesquisa investiga acúmulo de mutações no DNA mitocondrial com a idade,"Apr 1, 2022",1321,14,0:07:24,,,,,14,1.7271,0,586,1.71
8kdAPpZkiOQ,Quero saber - Como e por que a transfobia mata?,"Nov 27, 2023",60,173,0:00:35,47.85,,,,178,1.7246,0,3581,1.34
d3EgsjUl-Ls,Depoimento Ângela Lopes - Transformação,"Jan 20, 2023",407,69,0:01:29,,,,,69,1.7073,1,151,9.93
SFd1gjgNI_4,UFSCar inicia processo de renaturalização na região da transfederônica,"Mar 12, 2024",59,260,0:00:23,64.21,,,,286,1.702,1,8395,1.86
RjBFLT2ZH0M,Dossiê – Oceano em Risco – Entrevista com Dayana Moscardi,"Jun 4, 2025",337,72,0:01:23,,,,,72,1.6796,1,4167,0.86
9xOFk9ZwE6o,Por que e como publicar um livro científico por uma editora internacional?,"Jan 8, 2024",60,155,0:00:38,64.02,,,,170,1.6613,1,2573,2.06
zzY-AqfUUTY,Ciência UFSCar - Satélites brasileiros: de CubeSats ao Amazônia-1,"May 20, 2021",5692,12,0:08:16,,,,,12,1.6545,0,311,2.57
Zlx3Dy-_csE,VOCÊ NA UFSCAR – SAIBA COMO INGRESSAR NA UNIVERSIDADE,"Apr 28, 2023",55,180,0:00:33,,,,,180,1.6536,0,1106,8.95
PgsXhbdnnC8,Anita Prestes visita a UFSCar e inaugura mostra sobre Olga e Luís Carlos Prestes,"Aug 29, 2023",59,280,0:00:20,58.85,,,,325,1.6449,0,11305,1.27
hWo5IGSqG-I,Trilhas da Inovação - Ep.6 – Desenho industrial,"Oct 11, 2023",370,55,0:01:46,,,,,55,1.6213,0,347,3.17
